proLC3B,ProLC3B_S1,ProLC3B_S2,ProLC3B_S3,,LC3B II,LC3BII_S1,LC3BII_S2,LC3BII_S3,,LC3BII_p62,LC3BII_p62_S1,LC3BII_p62_S2,LC3BII_p62_S3
187000,0.4017601,0.384232,0.369031,,187000,0.3032987,0.2907503,0.2921084,,187000,0.1599443,0.3533217,0.1980714
188000,0.4022434,0.3950988,0.38352,,188000,0.3020455,0.2809332,0.2824005,,188000,0.1727539,0.3782148,0.207229
189000,0.408154,0.4144104,0.359548,,189000,0.3148892,0.2762336,0.3011845,,189000,0.1668026,0.3622799,0.1955441
190000,0.4018889,0.4343435,0.3472985,,190000,0.3046373,0.2676722,0.2812095,,190000,0.1806882,0.3691037,0.1952541
191000,0.3970436,0.4138725,0.3627273,,191000,0.3073608,0.2698399,0.2672844,,191000,0.1731825,0.3500841,0.2094544
192000,0.3936551,0.4355569,0.3765154,,192000,0.3106421,0.2994304,0.2644683,,192000,0.1757603,0.3345374,0.217162
193000,0.4018777,0.4256583,0.3344591,,193000,0.3011625,0.2440692,0.2877166,,193000,0.1727658,0.3488503,0.211361
194000,0.3905113,0.40748,0.3554091,,194000,0.304679,0.2560145,0.281749,,194000,0.1792453,0.3441642,0.2315801
195000,0.3910373,0.4075403,0.3465011,,195000,0.2881033,0.2459202,0.2781812,,195000,0.1696251,0.3408128,0.2214555
196000,0.4076756,0.4063016,0.3619739,,196000,0.3092504,0.2658406,0.2679227,,196000,0.1544946,0.3437071,0.2235466
197000,0.4018091,0.4045482,0.3741844,,197000,0.3175006,0.253109,0.2683893,,197000,0.156639,0.3478335,0.2467453
198000,0.4044634,0.3990601,0.353536,,198000,0.3102326,0.2464437,0.2607679,,198000,0.16627,0.3548884,0.2168592
199000,0.3979796,0.4067546,0.3406802,,199000,0.3114227,0.2610467,0.282456,,199000,0.1625045,0.3380686,0.2154395
200000,0.4195281,0.3920974,0.3305006,,200000,0.3243577,0.2472401,0.2635385,,200000,0.1695128,0.3455524,0.2260253
201000,0.4117779,0.386573,0.3556776,,201000,0.318732,0.2517065,0.2651788,,201000,0.175052,0.3471134,0.2123069
202000,0.4097144,0.4123321,0.353369,,202000,0.3196577,0.245239,0.2718624,,202000,0.1700969,0.3346058,0.2010155
203000,0.404676,0.3889825,0.3605365,,203000,0.310237,0.2582314,0.2704666,,203000,0.1669666,0.375978,0.2183892
204000,0.4022629,0.3817731,0.3642589,,204000,0.3036975,0.2454443,0.263555,,204000,0.1729944,0.3479498,0.1981686
205000,0.3912769,0.3818395,0.3828218,,205000,0.2913905,0.252565,0.2865142,,205000,0.1709603,0.329596,0.2143791
206000,0.4112209,0.3806356,0.3628612,,206000,0.3276788,0.2194843,0.2742676,,206000,0.1656009,0.3703906,0.2000549
207000,0.4136303,0.4004971,0.3602642,,207000,0.308237,0.2734047,0.288314,,207000,0.1649219,0.3684108,0.2286231
208000,0.4172126,0.3778906,0.3745024,,208000,0.2989897,0.2520469,0.2824163,,208000,0.1705903,0.3853795,0.2172343
